config,qp,n,ratio_mean,ratio_std,ratio_ci95,ratio_q05,ratio_q50,ratio_q95,p_smaller,kbps_mean,kbps_std,avg_qp_mean,psnr_all_mean,psnr_Y_mean,psnr_U_mean,psnr_V_mean,encode_wall_mean,shapiro_p
64x64 f10 IPB,4,20,1.3150895182291666,0.001149239959303355,0.0005378608573874124,1.3135847981770832,1.3151123046875002,1.3169311523437501,0.0,1569.8020000000001,1.4121860619919098,4.900000000000001,47.961434999999994,48.00174,48.61039999999999,49.05522,0.095655,0.41178913029791725
64x64 f10 IPB,8,20,1.1445556640624999,0.004972185267540028,0.0023270543365976155,1.1365193684895833,1.1448079427083333,1.1507218424479166,0.0,1360.2500000000002,6.109821256753212,8.900000000000002,47.067165,46.874199999999995,47.670820000000006,47.749855000000004,0.09978999999999999,0.3684121256469808
64x64 f10 IPB,10,20,1.0746972656250002,0.006027493708085032,0.0028209538899892166,1.0670906575520833,1.0741617838541666,1.0851456705729168,0.0,1274.388,7.406584268494875,10.900000000000002,46.21242000000001,46.133065,46.54532,46.61564,0.09806000000000001,0.8043005106886599
64x64 f10 IPB,12,20,1.00460205078125,0.00365417167505877,0.0017102049874591137,1.0001611328125002,1.0038655598958335,1.010205078125,0.05,1188.255,4.490246154312227,12.9,45.143249999999995,45.185950000000005,45.37910000000001,45.301880000000004,0.10425999999999998,0.7532450509700717
64x64 f10 IPB,14,20,0.951484375,0.004762370904177958,0.002228858191870343,0.9471720377604167,0.9504638671875,0.9563875325520834,1.0,1122.984,5.852001367053823,14.899999999999997,42.526415,42.67694,42.203714999999995,42.98092,0.10352000000000001,0.0002697822842170397
64x64 f10 IPB,16,20,0.8987939453125,0.0034193142160456706,0.0016002883131858074,0.89375732421875,0.8979329427083333,0.9050040690104167,1.0,1058.238,4.201653308676933,16.899999999999995,41.26987999999999,41.20298,41.63974499999999,41.568925,0.10116499999999999,0.3012783477863078
64x64 f10 IPB,18,20,0.8422469075520833,0.002931439624965233,0.0013719559760339353,0.8369978841145833,0.8418212890625001,0.8458292643229167,1.0,988.7530000000003,3.6021530111572764,18.899999999999995,39.945775,39.998055,39.901465,39.98322,0.101115,0.7708645047400298
64x64 f10 IPB,20,20,0.7863582356770833,0.0032101774784571327,0.0015024093070827092,0.7828670247395834,0.7858072916666667,0.79101806640625,1.0,920.077,3.9446660855281213,20.899999999999995,38.201685000000005,38.224905,38.2724,38.114239999999995,0.10815,0.10012226964875193
64x64 f10 IPB,24,20,0.68291259765625,0.0034171947345393817,0.0015992963653067235,0.6795434570312501,0.6816731770833333,0.6887776692708333,1.0,792.963,4.199048889801991,24.899999999999995,34.42692,34.444284999999994,34.38645,34.42000999999999,0.10700499999999999,0.08189606558093931
64x64 f10 IPB,28,20,0.5883870442708333,0.0025263210507109443,0.0011823546469746304,0.5834244791666667,0.5885986328125,0.5916389973958333,1.0,676.8099999999998,3.104343307113611,28.899999999999995,31.087290000000003,30.974280000000004,31.333545000000004,31.315315,0.10941000000000001,0.4356762806750779
64x64 f10 IPB,32,20,0.4935408528645834,0.0027423752442258583,0.0012834711221070474,0.4905379231770833,0.49396158854166666,0.49788899739583325,1.0,560.263,3.369830700104749,32.89999999999999,27.309115,27.059724999999997,27.863190000000003,27.848705000000002,0.10825500000000002,0.5007667599348877
64x64 f10 IPB,36,20,0.4086336263020833,0.0026248603588196443,0.001228472462768153,0.40435628255208333,0.4082845052083333,0.4128247070312499,1.0,455.929,3.2254284089175873,36.89999999999999,23.803420000000003,23.10341,25.665499999999998,25.681634999999993,0.10867500000000001,0.7919182619423846
64x64 f10 IPB,40,20,0.32028238932291664,0.0015295949701810596,0.0007158724820321834,0.31860758463541666,0.3199625651041666,0.3222298177083333,1.0,347.363,1.8795662993585067,40.89999999999999,20.252485000000004,19.196000000000005,23.73282,23.72424,0.105675,0.06123944114551391
